Date,eur_mxn,usd_mxn,gbp_mxn
2015-06-12,17.2722,15.3955,23.8298
2015-06-15,17.2819,15.4373,23.967899
2015-06-16,17.403799,15.388,24.0718
2015-06-17,17.2966,15.2559,24.062799
2015-06-18,17.34,15.3314,24.171801
2015-06-19,17.431,15.3413,24.3398
2015-06-22,17.4391,15.3452,24.363501
2015-06-23,17.409901,15.3952,24.2855
2015-06-24,17.2006,15.5068,24.226101
2015-06-25,17.3741,15.4903,24.354401
2015-06-26,17.353001,15.55,24.386299
2015-06-29,17.184099,15.6834,24.5704
2015-06-30,17.593,15.7114,24.6695
2015-07-01,17.4914,15.7749,24.638901
2015-07-02,17.408701,15.6699,24.6122
2015-07-03,17.372101,15.7157,24.457199
2015-07-06,17.3596,15.7205,24.5592
2015-07-07,17.3685,15.8054,24.521099
2015-07-08,17.3983,15.8401,24.434
2015-07-09,17.5317,15.8032,24.3428
2015-07-10,17.4792,15.7005,24.2873
2015-07-13,17.5261,15.7323,24.4331
2015-07-14,17.2868,15.661,24.356001
2015-07-15,17.240999,15.796,24.4848
2015-07-16,17.2808,15.8258,24.686199
2015-07-17,17.2208,15.9208,24.704599
2015-07-20,17.249001,16.002399,24.8472
2015-07-21,17.3361,16.0112,24.9142
2015-07-22,17.507299,16.107,24.900999
2015-07-23,17.5949,16.205999,25.1467
2015-07-24,17.802299,16.264,25.146999
2015-07-27,17.824699,16.292999,25.2166
2015-07-28,18.0658,16.278999,25.354601
2015-07-29,18.0142,16.2827,25.402901
2015-07-30,17.8806,16.259899,25.396
2015-07-31,17.789101,16.1049,25.3706
2015-08-03,17.6758,16.1766,25.181999
2015-08-04,17.717501,16.2913,25.218
2015-08-05,17.7353,16.3599,25.356501
2015-08-06,17.836,16.319901,25.525299
2015-08-07,17.829,16.150999,25.318399
2015-08-10,17.7197,16.1707,25.039301
2015-08-11,17.812201,16.307199,25.199301
2015-08-12,18.002701,16.2507,25.407499
2015-08-13,18.1313,16.399,25.371901
2015-08-14,18.298201,16.364201,25.6047
2015-08-17,18.1859,16.431101,25.6577
2015-08-18,18.1994,16.417,25.606501
2015-08-19,18.104,16.598,25.7155
2015-08-20,18.452999,16.7882,26.031099
2015-08-21,18.860901,16.9799,26.337601
2015-08-24,19.382099,17.164301,26.7097
2015-08-25,19.876301,17.274599,27.0502
2015-08-26,19.9569,17.0292,27.115801
2015-08-27,19.305099,16.8724,26.3582
2015-08-28,18.9799,16.747299,26.007299
2015-08-31,18.794901,16.744801,25.8417
2015-09-01,18.792999,16.954,25.726801
2015-09-02,19.146601,16.858601,25.943001
2015-09-03,18.9051,16.8022,25.802999
2015-09-04,18.692499,16.9321,25.634199
2015-09-07,18.8659,16.965,25.709
2015-09-08,18.9354,16.822001,25.9165
2015-09-09,18.8512,16.9545,25.901699
2015-09-10,19.031601,16.7509,26.050501
2015-09-11,18.899401,16.8283,25.861401
2015-09-14,19.054199,16.719999,25.950399
2015-09-15,18.907301,16.694201,25.7911
2015-09-16,18.812799,16.5331,25.6105
2015-09-17,18.681801,16.5896,25.674101
2015-09-18,18.908501,16.645201,25.813999
2015-09-21,18.7647,16.6504,25.8064
2015-09-22,18.6353,16.899,25.825199
2015-09-23,18.7918,17.1127,25.943199
2015-09-24,19.1576,16.8668,26.1117
2015-09-25,18.8531,16.9622,25.680901
2015-09-28,19.0089,17.0823,25.800301
2015-09-29,19.185801,17.010099,25.905399
2015-09-30,19.1469,16.913601,25.7854
2015-10-01,18.8876,16.9058,25.571899
2015-10-02,18.929001,16.7453,25.6028
2015-10-05,18.8223,16.766899,25.4744
2015-10-06,18.776699,16.645201,25.4161
2015-10-07,18.7577,16.638,25.3489
2015-10-08,18.6973,16.4576,25.48
2015-10-09,18.5697,16.4088,25.2624
2015-10-12,18.6612,16.4631,25.1502
2015-10-13,18.7012,16.642099,25.257999
2015-10-14,18.951401,16.4324,25.397499
2015-10-15,18.8612,16.380199,25.441099
2015-10-16,18.625,16.4018,25.3491
2015-10-19,18.6199,16.4758,25.308201
2015-10-20,18.6738,16.564199,25.4963
2015-10-21,18.800501,16.65,25.576799
2015-10-22,18.8951,16.510099,25.6798
2015-10-23,18.2908,16.5721,25.390699
2015-10-26,18.2418,16.519501,25.349899
2015-10-27,18.272499,16.5485,25.366899
2015-10-28,18.2584,16.6378,25.3356
2015-10-29,18.1728,16.618299,25.395201
2015-10-30,18.268,16.4792,25.461
2015-11-02,18.1688,16.439501,25.4415
2015-11-03,18.104799,16.3948,25.344299
2015-11-04,17.9708,16.5516,25.275999
2015-11-05,17.9828,16.5966,25.466999
2015-11-06,18.0688,16.7799,25.2393
2015-11-09,18.036699,16.759501,25.2962
2015-11-10,18.0334,16.7551,25.342699
2015-11-11,17.989901,16.723,25.3591
2015-11-12,17.990999,16.743999,25.4529
2015-11-13,18.1024,16.672501,25.499901
2015-11-16,17.881001,16.7654,25.431
2015-11-17,17.9128,16.7167,25.4774
2015-11-18,17.7967,16.7251,25.4303
2015-11-19,17.8447,16.630301,25.486601
2015-11-20,17.8361,16.517799,25.414499
2015-11-23,17.5851,16.5536,25.106001
2015-11-24,17.6087,16.5236,25.0403
2015-11-25,17.5867,16.503,24.924
2015-11-26,17.535801,16.5625,24.955999
2015-11-27,17.560499,16.618,25.003901
2015-11-30,17.5763,16.5632,24.9699
2015-12-01,17.5091,16.5163,24.942801
2015-12-02,17.549299,16.560801,24.9009
2015-12-03,17.5788,16.702101,24.7572
2015-12-04,18.2358,16.6273,25.279301
2015-12-07,18.1325,16.884001,25.178101
2015-12-08,18.2873,17.011,25.4048
2015-12-09,18.5298,17.0846,25.5287
2015-12-10,18.8218,17.2041,25.942499
2015-12-11,18.830799,17.385201,26.078199
2015-12-14,19.042801,17.308001,26.3477
2015-12-15,19.0271,17.1056,26.242001
2015-12-16,18.7024,16.998899,25.7272
2015-12-17,18.480801,17.038401,25.4499
2015-12-18,18.4741,17.113199,25.4359
2015-12-21,18.5882,17.143999,25.488501
2015-12-22,18.704,17.190599,25.5322
2015-12-23,18.818399,17.2199,25.4778
2015-12-24,18.783899,17.223,25.607201
2015-12-25,18.882799,17.223,25.661501
2015-12-28,18.951599,17.219,25.796801
2015-12-29,18.8948,17.2556,25.639
2015-12-30,18.851,17.3755,25.573999
2015-12-31,18.993299,17.2698,25.745001
2016-01-01,18.622499,17.2698,25.451
2016-01-04,18.670799,17.2882,25.3447
2016-01-05,18.7125,17.3255,25.434601
2016-01-06,18.617901,17.5289,25.4049
2016-01-07,18.8895,17.826799,25.6387
2016-01-08,19.4739,17.926201,26.067699
2016-01-11,19.6598,17.8911,26.0996
2016-01-12,19.4238,17.9021,26.014799
2016-01-13,19.409201,17.945999,25.841
2016-01-14,19.535,17.851,25.8533
2016-01-15,19.379999,18.248501,25.744301
2016-01-18,19.9727,18.193701,26.1026
2016-01-19,19.8193,18.254,25.930099
2016-01-20,19.9195,18.475,25.8866
2016-01-21,20.092199,18.709,26.226801
2016-01-22,20.3167,18.4387,26.6143
2016-01-25,19.8834,18.614,26.249599
2016-01-26,20.201799,18.4485,26.505699
2016-01-27,20.037001,18.452999,26.4534
2016-01-28,20.1248,18.3435,26.289101
2016-01-29,20.0611,18.1054,26.3396
2016-02-01,19.635099,18.241699,25.8354
2016-02-02,19.871201,18.483,26.305099
2016-02-03,20.182199,18.195101,26.630501
2016-02-04,20.179399,18.2661,26.537001
2016-02-05,20.4559,18.446301,26.6238
2016-02-08,20.510099,18.650299,26.694201
2016-02-09,20.867001,18.7892,26.9179
2016-02-10,21.2097,18.916,27.178499
2016-02-11,21.338301,19.140499,27.473
2016-02-12,21.6607,18.9032,27.708599
2016-02-15,21.221001,18.851,27.446199
2016-02-16,21.062099,18.878599,27.2349
2016-02-17,21.039499,18.333599,26.9995
2016-02-18,20.388901,18.296,26.178699
2016-02-19,20.319,18.2138,26.201799
2016-02-22,20.2477,18.081699,25.9561
2016-02-23,19.938299,18.2062,25.5723
2016-02-24,20.07,18.178301,25.5082
2016-02-25,20.019199,18.128,25.313299
2016-02-26,19.9823,18.2766,25.313999
2016-02-29,19.9676,18.138399,25.336901
2016-03-01,19.747801,17.9039,25.26
2016-03-02,19.475901,17.8482,24.997601
2016-03-03,19.3976,17.9377,25.1238
2016-03-04,19.6362,17.7591,25.412001
2016-03-07,19.5334,17.7404,25.249599
2016-03-08,19.5383,17.9207,25.295
2016-03-09,19.7171,17.740999,25.450199
2016-03-10,19.493601,17.8407,25.2033
2016-03-11,19.937401,17.696699,25.482401
2016-03-14,19.7556,17.743999,25.433201
2016-03-15,19.7012,17.886299,25.3398
2016-03-16,19.868401,17.6143,25.310699
2016-03-17,19.749001,17.3393,25.0994
2016-03-18,19.6206,17.389299,25.093
2016-03-21,19.6444,17.4189,25.192499
2016-03-22,19.5737,17.3465,25.0278
2016-03-23,19.4655,17.5762,24.672199
2016-03-24,19.6469,17.589001,24.8027
2016-03-25,19.643801,17.523399,24.849001
2016-03-28,19.6054,17.433599,24.819099
2016-03-29,19.526899,17.3253,24.8584
2016-03-30,19.555,17.2654,24.912701
2016-03-31,19.5709,17.262899,24.812201
2016-04-01,19.641399,17.329,24.797001
2016-04-04,19.7491,17.4974,24.655899
2016-04-05,19.9209,17.681,24.951599
2016-04-06,20.1229,17.625401,25.0273
2016-04-07,20.094101,17.8801,24.9077
2016-04-08,20.330601,17.7679,25.1257
2016-04-11,20.2673,17.6506,25.1085
2016-04-12,20.138,17.4751,25.114599
2016-04-13,19.891001,17.424999,24.9296
2016-04-14,19.652201,17.4317,24.729099
2016-04-15,19.6411,17.545601,24.6521
2016-04-18,20.0072,17.409201,25.1033
2016-04-19,19.6866,17.3358,24.874599
2016-04-20,19.6882,17.2549,24.9412
2016-04-21,19.500999,17.4522,24.7383
2016-04-22,19.7017,17.4634,24.994499
2016-04-25,19.6061,17.565001,25.2097
2016-04-26,19.7913,17.375799,25.444599
2016-04-27,19.625999,17.2929,25.320499
2016-04-28,19.588499,17.2575,25.1425
2016-04-29,19.593,17.172001,25.2136
2016-05-02,19.687,17.203199,25.076
2016-05-03,19.8237,17.5998,25.220699
2016-05-04,20.2393,17.7708,25.6028
2016-05-05,20.4168,17.874399,25.7701
2016-05-06,20.3811,17.848,25.9002
2016-05-09,20.3552,18.1901,25.777399
2016-05-10,20.712099,17.9834,26.212999
2016-05-11,20.451099,17.988199,25.985001
2016-05-12,20.549999,17.9622,25.9657
2016-05-13,20.430099,18.157499,25.944201
2016-05-16,20.578699,18.306499,26.088301
2016-05-17,20.7104,18.2932,26.4396
2016-05-18,20.6959,18.4279,26.4349
2016-05-19,20.677601,18.4154,26.8894
2016-05-20,20.632099,18.3325,26.8801
2016-05-23,20.609301,18.521601,26.6091
2016-05-24,20.768299,18.466499,26.820499
2016-05-25,20.5632,18.4923,26.9762
2016-05-26,20.6299,18.440001,27.1723
2016-05-27,20.637501,18.448099,27.0406
2016-05-30,20.4928,18.4783,26.980301
2016-05-31,20.599701,18.465401,27.0352
2016-06-01,20.552999,18.502199,26.74
2016-06-02,20.697701,18.6703,26.677999
2016-06-03,20.8188,18.5937,26.8964
2016-06-06,21.142099,18.6756,26.7918
2016-06-07,21.2183,18.386,26.995399
2016-06-08,20.878201,18.1175,26.7339
2016-06-09,20.659300000000002,18.2505,26.290199
2016-06-10,20.6458,18.629101,26.389999
2016-06-13,20.916401,18.836,26.3995
2016-06-14,21.2612,18.9207,26.7558
2016-06-15,21.2096,18.896799,26.714899
2016-06-16,21.2794,18.907499,26.8211
2016-06-17,21.284901,18.8389,27.0207
2016-06-20,21.255699,18.630699,27.3193
2016-06-21,21.0938,18.6325,27.3328
2016-06-22,20.959499,18.4046,27.3242
2016-06-23,20.849001,18.433901,27.2211
2016-06-24,20.8377,18.8974,26.813999
2016-06-27,20.9492,19.1105,25.5107
2016-06-28,21.048201,18.808201,25.2899
2016-06-29,20.8263,18.510099,25.1036
2016-06-30,20.590099,18.323,24.9121
2016-07-01,20.344101,18.3477,24.412201
2016-07-04,20.461201,18.431101,24.418699
2016-07-05,20.542299,18.8235,24.4746
2016-07-06,20.8172,18.747499,24.373301
2016-07-07,20.806601,18.810699,24.2222
2016-07-08,20.8134,18.505301,24.2875
2016-07-11,20.427999,18.464199,23.9396
2016-07-12,20.4125,18.3326,23.9594
2016-07-13,20.2715,18.3778,24.334299
2016-07-14,20.3885,18.3661,24.1028
2016-07-15,20.3951,18.598,24.521299
2016-07-18,20.502199,18.381599,24.5291
2016-07-19,20.3475,18.49,24.379601
2016-07-20,20.362,18.6721,24.2307
2016-07-21,20.571199,18.564301,24.7502
2016-07-22,20.4765,18.541201,24.576799
2016-07-25,20.3367,18.773399,24.3368
2016-07-26,20.633499,18.7514,24.598101
2016-07-27,20.599001,18.822201,24.6563
2016-07-28,20.8358,18.8918,24.909599
2016-07-29,20.935101,18.747,24.8571
2016-08-01,20.9457,18.8598,24.782301
2016-08-02,21.059999,18.933599,24.856701
2016-08-03,21.240101,18.8829,25.246099
2016-08-04,21.0569,18.8981,25.1626
2016-08-05,21.040001,18.751499,24.804701
2016-08-08,20.792601,18.5497,24.5382
2016-08-09,20.559,18.4368,24.1688
2016-08-10,20.4967,18.408701,23.979799
2016-08-11,20.592699,18.232,23.9674
2016-08-12,20.299,18.2593,23.610001
2016-08-15,20.3552,18.077801,23.5345
2016-08-16,20.2127,18.056,23.282499
2016-08-17,20.3617,18.108601,23.5261
2016-08-18,20.473801,18.1721,23.636299
2016-08-19,20.6192,18.215,23.914801
2016-08-22,20.6236,18.2985,23.8354
2016-08-23,20.7115,18.5266,24.0301
2016-08-24,20.936899,18.4657,24.442801
2016-08-25,20.805401,18.359699,24.4545
2016-08-26,20.7239,18.5882,24.224001
2016-08-29,20.816299,18.633101,24.3981
2016-08-30,20.856899,18.7945,24.424
2016-08-31,20.968399,18.794201,24.6166
2016-09-01,20.970699,18.742701,24.682199
2016-09-02,20.989401,18.579201,24.858999
2016-09-05,20.7057,18.587601,24.671499
2016-09-06,20.739901,18.260201,24.757601
2016-09-07,20.5588,18.3906,24.516899
2016-09-08,20.661699,18.661699,24.522499
2016-09-09,21.042101,18.895901,24.847601
2016-09-12,21.210899,18.8197,25.045401
2016-09-13,21.1516,19.109699,25.0966
2016-09-14,21.437,19.2813,25.211399
2016-09-15,21.681999,19.3498,25.5723
2016-09-16,21.752001,19.610701,25.627001
2016-09-19,21.8545,19.6663,25.4842
2016-09-20,21.9837,19.831301,25.643499
2016-09-21,22.120001,19.720699,25.746201
2016-09-22,22.068199,19.6243,25.6991
2016-09-23,21.997801,19.7819,25.672001
2016-09-26,22.242399,19.877701,25.6824
2016-09-27,22.362101,19.371901,25.771099
2016-09-28,21.740299,19.3414,25.2139
2016-09-29,21.7183,19.5443,25.2313
2016-09-30,21.929199,19.3689,25.332399
2016-10-03,21.7973,19.296301,25.077999
2016-10-04,21.6327,19.313299,24.790001
2016-10-05,21.6485,19.208799,24.5826
2016-10-06,21.5413,19.2281,24.5123
2016-10-07,21.423599,19.291401,23.825001
2016-10-10,21.249399,18.9086,23.602301
2016-10-11,21.058001,18.8748,23.3291
2016-10-12,20.874701,18.937901,23.1625
2016-10-13,20.8529,18.9519,23.0769
2016-10-14,20.937,19.0023,23.157499
2016-10-17,20.841299,18.853399,23.1409
2016-10-18,20.7638,18.599701,23.030399
2016-10-19,20.4132,18.5201,22.8841
2016-10-20,20.3235,18.5902,22.761101
2016-10-21,20.329,18.5846,22.7995
2016-10-24,20.249901,18.544701,22.7353
2016-10-25,20.161301,18.5289,22.6497
2016-10-26,20.1714,18.6926,22.5553
2016-10-27,20.3937,18.823099,22.865601
2016-10-28,20.506001,18.9657,22.902201
2016-10-31,20.878201,18.862,23.209
2016-11-01,20.691999,19.1724,23.0781
2016-11-02,21.2087,19.341101,23.468201
2016-11-03,21.455,19.145901,23.796
2016-11-04,21.2612,19.0105,23.8715
2016-11-07,20.6243,18.5499,23.1987
2016-11-08,20.4972,18.3006,22.9953
2016-11-09,20.1703,19.8834,22.6796
2016-11-10,21.7071,20.507,24.6826
2016-11-11,22.3346,20.736799,25.744101
2016-11-14,22.5749,20.719801,26.2229
2016-11-15,22.268999,20.3067,25.9324
2016-11-16,21.784,20.2068,25.2855
2016-11-17,21.632999,20.4135,25.133301
2016-11-18,21.677299,20.620001,25.333
2016-11-21,21.8374,20.439199,25.4209
2016-11-22,21.742901,20.601299,25.530899
2016-11-23,21.9062,20.6408,25.5902
2016-11-24,21.7719,20.7033,25.663799
2016-11-25,21.868,20.6735,25.775499
2016-11-28,21.9063,20.612301,25.753
2016-11-29,21.8883,20.6245,25.571199
2016-11-30,21.959999,20.562099,25.757401
2016-12-01,21.777901,20.7598,25.731501
2016-12-02,22.134399,20.606001,26.130301
2016-12-05,21.9118,20.565001,26.2311
2016-12-06,22.1166,20.391899,26.1689
2016-12-07,21.859699,20.3253,25.839001
2016-12-08,21.874201,20.3027,25.6714
2016-12-09,21.5634,20.3736,25.5445
2016-12-12,21.431,20.1936,25.589399
2016-12-13,21.500799,20.268,25.6073
2016-12-14,21.5375,20.4785,25.659599
2016-12-15,21.5256,20.3316,25.669901
2016-12-16,21.1791,20.409599,25.2491
2016-12-19,21.3535,20.3622,25.5128
2016-12-20,21.1957,20.447399,25.239599
2016-12-21,21.246401,20.5576,25.277201
2016-12-22,21.438999,20.746599,25.4011
2016-12-23,21.653099,20.6434,25.4841
2016-12-26,21.5203,20.624901,25.304701
2016-12-27,21.5595,20.7593,25.307199
2016-12-28,21.7157,20.705099,25.474199
2016-12-29,21.568199,20.702,25.304701
2016-12-30,21.8918,20.718,25.4363
2017-01-02,21.7185,20.740499,25.583
2017-01-03,21.691601,21.120199,25.464001
2017-01-04,22.003201,21.4797,25.858999
2017-01-05,22.551201,21.3855,26.467899
2017-01-06,22.680099,21.216499,26.563299
2017-01-09,22.361799,21.3591,26.030001
2017-01-10,22.6238,21.812099,26.006001
2017-01-11,23.0193,21.9046,26.5483
2017-01-12,23.205099,21.7721,26.748301
2017-01-13,23.110399,21.470301,26.4781
2017-01-16,22.8554,21.6772,25.8811
2017-01-17,22.993601,21.511299,26.109699
2017-01-18,23.0084,21.909201,26.646
2017-01-19,23.2847,21.922001,26.8563
2017-01-20,23.366699,21.5767,27.0473
2017-01-23,23.057301,21.325199,26.657801
2017-01-24,22.954399,21.506701,26.698999
2017-01-25,23.0818,21.0553,26.962999
2017-01-26,22.6453,21.2122,26.609501
2017-01-27,22.659,20.859501,26.7176
2017-01-30,22.3999,20.7675,26.3253
2017-01-31,22.2404,20.805099,25.954599
2017-02-01,22.484501,20.710199,26.198299
2017-02-02,22.296301,20.528299,26.209499
2017-02-03,22.0886,20.3363,25.6964
2017-02-06,21.9869,20.544701,25.4533
2017-02-07,22.0693,20.6089,25.6103
2017-02-08,22.0047,20.5124,25.750401
2017-02-09,21.9328,20.361601,25.694401
2017-02-10,21.701,20.325001,25.446301
2017-02-13,21.5811,20.275999,25.3692
2017-02-14,21.495701,20.2731,25.3974
2017-02-15,21.441799,20.2866,25.274799
2017-02-16,21.5168,20.3974,25.2911
2017-02-17,21.7612,20.4125,25.463699
2017-02-20,21.724501,20.357,25.422001
2017-02-21,21.594,19.9993,25.385799
2017-02-22,21.082199,19.889799,24.9709
2017-02-23,20.999201,19.6798,24.7822
2017-02-24,20.828899,19.910801,24.7083
2017-02-27,21.0016,19.8972,24.669701
2017-02-28,21.069401,20.1101,24.755899
2017-03-01,21.2682,19.8515,24.901199
2017-03-02,20.9139,20.0033,24.3573
2017-03-03,21.017401,19.5033,24.5476
2017-03-06,20.7764,19.6021,24.0606
2017-03-07,20.7374,19.4797,23.9918
2017-03-08,20.585699,19.6786,23.768999
2017-03-09,20.749001,19.8281,23.951401
2017-03-10,20.9736,19.594101,24.0954
2017-03-13,20.9526,19.620001,23.8561
2017-03-14,20.8923,19.6539,23.940901
2017-03-15,20.857901,19.232201,23.891899
2017-03-16,20.652399,19.2344,23.618799
2017-03-17,20.7286,19.076,23.7649
2017-03-20,20.500999,19.006399,23.632999
2017-03-21,20.4044,19.094801,23.5019
2017-03-22,20.6581,19.0159,23.842501
2017-03-23,20.5224,18.942499,23.7199
2017-03-24,20.4263,18.748199,23.7059
2017-03-27,20.366699,18.8734,23.493
2017-03-28,20.497,18.9895,23.6985
2017-03-29,20.5397,18.706499,23.587
2017-03-30,20.1364,18.7262,23.283701
2017-03-31,20.0093,18.691601,23.360399
2017-04-03,19.959101,18.697901,23.449699
2017-04-04,19.961,18.8148,23.368299
2017-04-05,20.091801,18.799801,23.4004
2017-04-06,20.0741,18.742901,23.488199
2017-04-07,19.9625,18.652,23.381901
2017-04-10,19.7416,18.6898,23.083099
2017-04-11,19.802,18.753599,23.2145
2017-04-12,19.909599,18.5546,23.438101
2017-04-13,19.8006,18.5667,23.2812
2017-04-14,19.714701,18.4965,23.212601
2017-04-17,19.6357,18.499599,23.1961
2017-04-18,19.689899,18.584,23.225401
2017-04-19,19.9415,18.8589,23.874599
2017-04-20,20.2043,18.811701,24.101999
2017-04-21,20.1535,18.797001,24.077101
2017-04-24,20.249399,18.813101,23.884501
2017-04-25,20.451099,18.866199,24.049
2017-04-26,20.6157,19.1632,24.2073
2017-04-27,20.9063,19.055901,24.618999
2017-04-28,20.7013,18.809099,24.563999
2017-05-01,20.518101,18.7285,24.3267
2017-05-02,20.427099,18.753201,24.144699
2017-05-03,20.505199,18.8277,24.2661
2017-05-04,20.51,19.041,24.247299
2017-05-05,20.9095,18.946699,24.6064
2017-05-08,20.7712,19.1919,24.5604
2017-05-09,20.9662,19.1675,24.832399
2017-05-10,20.866501,19.0259,24.815901
2017-05-11,20.6759,18.814699,24.5963
2017-05-12,20.4519,18.782,24.261999
2017-05-15,20.516701,18.6861,24.1866
2017-05-16,20.5296,18.6805,24.117399
2017-05-17,20.723,18.941999,24.127701
2017-05-18,21.1311,18.8377,24.564301
2017-05-19,20.927299,18.7082,24.4021
2017-05-22,20.9722,18.704599,24.3515
2017-05-23,21.020599,18.6486,24.304399
2017-05-24,20.844,18.438499,24.1516
2017-05-25,20.7045,18.4916,23.925699
2017-05-26,20.728399,18.4835,23.909201
2017-05-29,20.6632,18.4701,23.6919
2017-05-30,20.565001,18.7188,23.678499
2017-05-31,20.911301,18.6353,23.9744
2017-06-01,20.945999,18.6451,23.990801
2017-06-02,20.9116,18.666,24.030701
2017-06-05,21.126801,18.332001,24.0987
2017-06-06,20.6443,18.2533,23.6716
2017-06-07,20.568701,18.2533,23.553101
2017-06-08,20.542801,18.215099,23.6583
2017-06-09,20.370001,18.161501,23.1702
2017-06-12,20.3183,18.125601,23.1098
2017-06-13,20.2915,18.056299,22.958599
2017-06-14,20.239799,17.941999,23.017
2017-06-15,20.1134,18.031,22.8792
2017-06-16,20.0972,17.899,23.000799
2017-06-19,20.0863,17.9781,22.9028
2017-06-20,20.0347,18.207899,22.8871
2017-06-21,20.287701,18.2337,23.012199
2017-06-22,20.357401,18.1108,23.1073
2017-06-23,20.2068,17.993299,22.9741
2017-06-26,20.1576,17.9002,22.9394
2017-06-27,20.0298,17.960899,22.778099
2017-06-28,20.375401,17.8307,23.025999
2017-06-29,20.293699,18.027201,23.072701
2017-06-30,20.635599,18.113899,23.469601
2017-07-03,20.661699,18.1807,23.5436
2017-07-04,20.672501,18.2141,23.5397
2017-07-05,20.691601,18.308399,23.5557
2017-07-06,20.774799,18.273001,23.676201
2017-07-07,20.8764,18.070999,23.696501
2017-07-10,20.6187,17.9377,23.308001
2017-07-12,20.5539,17.771,23.035601
2017-07-13,20.2922,17.688801,22.909401
2017-07-14,20.1835,17.5546,22.9146
2017-07-17,20.163401,17.577299,23.039301
2017-07-18,20.1663,17.4914,22.938601
2017-07-19,20.2006,17.5714,22.8041
2017-07-20,20.254101,17.489901,22.8925
2017-07-21,20.3367,17.636801,22.6724
2017-07-24,20.5835,17.7265,22.9142
2017-07-25,20.6429,17.763201,23.106001
2017-07-26,20.6861,17.576599,23.137699
2017-07-27,20.625401,17.7257,23.059999
2017-07-28,20.718,17.7677,23.1766
2017-07-31,20.861099,17.8097,23.341999
2017-08-01,21.055901,17.880501,23.4932
